code,aptName,locationDesc,youWant,studioLow,studioHigh,oneBedLow,oneBedHigh,twoBedLow,twoBedHigh,threeBedLow,threeBedHigh,fourBedLow,fourBedHigh,numOfBeds,utilities,wifi,ac,laundry,parking,parkingInfo,pets,secureAccess,fitnessCenter,amenities,distance,walk,managementCompany,management,maintenance,pests,totalRating,problems,reviews,address,websiteLink,floorplanLink,image
DIS,District Square Apartments,District Square apartments is located just off of Broad Street near the Maggie Walker statue.,,$925,$950,$900,"$1,050","$1,300","$1,500","$2,045","$2,090",,,studio - 3,included,yes,yes,in-unit,yes,"parking lot, separate fee",fee & pet rent,yes,yes,,0.8,16,Landmark,bad,bad,bad,bad,"No windows, packages get stolen, thin walls, roaches, mold","1.6, 2.6",111 W Marshall St,https://www.districtsquareapartments.com/home,https://www.districtsquareapartments.com/floor-plans,https://www.districtsquareapartments.com/gallery
EAG,Eagle Mill Apartments & Lofts,Eagle Mill Apartments & Lofts is located behind the Bowe Street Parking deck and two blocks from Kroger.,,"$1,025","$1,300","$1,025","$1,300","$1,025","$1,475","$2,100","$2,400",,,studio - 3,not included,yes,yes,in-unit,yes,yes,fee,,,,0.6,12,Pondok Management,bad,mid,bad,bad,"Stolen packages, roaches and other bugs, slow maintenance for major problems, thin walls",1.8,1400 W Marshall St,https://www.pondokmanagement.com/,https://www.pondokmanagement.com/floorplans/,https://www.pondokmanagement.com/photos/
GRA,Grace and Monroe Apartments,"Grace and Monroe Apartments is located just off of Belvidere Street, one block down from Domino's and close to Monroe Park.",,$912,"$1,010",$975,"$1,075","$1,300","$1,520","$1,849","$2,050",,,studio - 3,no electric,yes,yes,facility often dirty,yes,"parking lot, separate fee",fee & pet rent,?,no,pre-furnished,0.4,9,Landmark,bad,bad,good,mid,"Maintenance takes a long time to respond, elevator breaks regularly, outside of building is unclean and unsafe, laundry room is unclean and machines are broken, parking lot gross","2.7, 2.9",401 W Grace St,https://www.graceandmonroe.com/home,https://www.graceandmonroe.com/floor-plans,https://www.graceandmonroe.com/gallery
GRO,1005 Grove Apartments,1005 Grove Apartments is located across the street from Cabell Library.,,,,"$1,200","$1,300",,,,,,,1,no electric,yes,window units,laundry facility,no,no parking,fee & pet rent,yes,no,pet care,0.07,2,Landmark,good,good,mid,good,Reported problems with bugs and rodents,,1005 Grove Ave,https://www.liveatvcu.com/home,https://www.liveatvcu.com/floor-plans,https://www.liveatvcu.com/gallery
IRO,Iron House Apartments,The Iron House Apartmenrs is located on 1309 W Broad St. next to a Waffle House restaurant.,,,,$875,$960,,,"$1,800",,,,1 or 3,no electric,yes,yes,in-unit,no,no parking,fee,,,,0.5,10,Levco Management,mid,?,?,?,"thin walls, packages stolen","1.7, 2.5, 3.9",1309 W Broad St,https://www.ironhouseapts.com/,https://www.ironhouseapts.com/floorplans,https://www.ironhouseapts.com/photogallery.aspx
JAM,The James,The James is located north of I-95 and provides a shuttle service to and from campus.,,,,"$1,170",,"$1,780",,"$2,550",,"$3,040",,1 - 4,no electric,yes,unreliable,"in some units, laundry facility",yes,"surface lot, $45/month ",yes,,yes,"Shuttle to campus, pool",1.6,33,Campus Life & Style,mid,mid,good,mid,"Very unsafe area, bad security, bad smell, get gift cards for giving good reviews","2.1, 3.7",601 W Bacon St,https://www.liveatthejames.com/?utm_source=GBP&utm_medium=organic,https://www.liveatthejames.com/apartments/va/richmond/floor-plans#/,https://www.liveatthejames.com/apartments/va/richmond/gallery
L15,1510 Lofts,1510 Lofts is located close to Kroger and one block from Bowe Street Parking Deck.,,,,"$1,175",,"$1,550",,,,,,1 - 2,no electric,yes,yes,no,no,no parking,fee,yes,no,"clubhouse, pool",0.6,13,Peak Property Management,good,good,good,good,Windows aren't insulated well,,1510 W Broad St,https://www.richmondpropertymanagement.net/richmond-property-management,https://www.apartments.com/1510-lofts-richmond-va/jd0mrm6/,https://ar.rdcpix.com/246e51c9d961be3c26414c18a37a7e40c-f2524261859od-w480_h360_x2.webp
LOF,The Lofts at Capital Garage,The Lofts at Capital Garage is located on 1301 W Broad St. Next to the No Limits nutrition center. ,,,,,,$514,$614,,,,,"2 rooms, 2 people/room",Electricity up to a monthly allowance,yes,yes,?,yes,garage,not allowed,,,,0.4,9,American Campus Communities,bad,bad,mid,bad,"Bad mail situation, rooms have bunk beds, random assignment roommates, tend to upcharge residents",,1301 W Broad St,https://www.americancampus.com/student-apartments/va/richmond/RAMZ-Lofts-at-Capital-Garage,https://www.americancampus.com/student-apartments/va/richmond/ramz-lofts-at-capital-garage#floor-plans,https://www.americancampus.com/student-apartments/va/richmond/ramz-lofts-at-capital-garage#gallery
MAR,Marshall Adams Apartments,The Marshall Adams Apartments are located near the Maggie Walker statue and a PULSE bus stop on Broad Street.,,,,,,"$1,500",,"$2,000","$2,100",,,2 - 3,no electric,yes,yes,in-unit,yes,"yes, separate fee",not allowed,,,,0.8,17,University Property,good,good,mid,good,One report of pests,,22 W Marshall St,https://www.university-property.com/marshall-adams-apartments,https://www.university-property.com/marshall-adams-apartments,https://lh5.googleusercontent.com/p/AF1QipOaeqe0-mE8FrhdOp0C_VESx830VBBva7uAQ20C=w408-h270-k-no
MPT,Marshall Park Townhomes,Marshall Park Townhomes are located two blocks from VCUarts Depot and Depots Annex.,,$925,,$999,,,,,,$625,,"studio, 1, or 4",Electricity up to a monthly allowance,yes,info not found,laundry facility,yes,"parking lot, separate fee, fills up often",fee,?,no,"pre-furnished, package receiving",0.5,10,Landmark,bad,bad,bad,bad,"Extremely slow maintenance, leaks, bugs and rodents, air conditioner doesn't work properly, stolen packages, thin walls",,728 W Marshall St,https://www.marshallparktownhomes.com/home,https://www.marshallparktownhomes.com/floor-plans,https://www.marshallparktownhomes.com/gallery
